implementation,m,n,k,expected_samples,successful_samples,status,runtime_ms_median,runtime_ms_mean,runtime_ms_std,runtime_ms_min,runtime_ms_max,runtime_ms_cv,tflops_median,tflops_mean,tflops_std,tflops_min,tflops_max,tflops_cv,max_abs_diff,output_hash,ap_over_official,ap_over_official_percent,hash_matches_official
latest,1024,1024,1024,5,5,success,0.0423526,0.042454399999999996,0.0003247636063354404,0.0422298,0.0430272,0.0076497043023912815,50.7048,50.58564,0.38332127908583397,49.9099,50.8524,0.007577669850294154,0.0,1252001778606288190,1.013010053222945,101.30100532229449,True
v00,1024,1024,1024,5,5,success,0.0472474,0.04852518,0.0029268769528287323,0.0471443,0.05376,0.060316663489527134,45.4519,44.374539999999996,2.4763149967239633,39.9458,45.5513,0.055804860100498246,0.0,,0.9080645547972573,90.80645547972573,
v01,1024,1024,1024,5,5,success,0.0486445,0.05025472,0.0029285584332568813,0.0485786,0.0553779,0.05827429609113097,44.1465,42.84078,2.334121521472265,38.7787,44.2064,0.05448363735376118,0.0,,0.8819845126024901,88.19845126024902,
v02,1024,1024,1024,5,5,success,0.0500736,0.05135564,0.003135169836388453,0.0486605,0.0553574,0.06104820885083806,42.8865,41.93848,2.5104833652107708,38.793,44.132,0.05986109570997258,0.0,,0.8568114980740645,85.68114980740646,
v03,1024,1024,1024,5,5,success,0.0471187,0.04783644,0.0025624256307256992,0.0453837,0.0508538,0.05356639479705637,45.576,44.99436,2.3839293389276444,42.2286,47.3184,0.052982848048680864,0.0,,0.9105438969424776,91.05438969424776,
v04,1024,1024,1024,5,5,success,0.0473498,0.047874059999999996,0.0020089288359720456,0.0462848,0.0512614,0.04196278393710594,45.3536,44.91774,1.8113700720725179,41.8928,46.3972,0.040326384899875146,0.0,,0.9061006600923809,90.61006600923808,
v05,1024,1024,1024,5,5,success,0.0475546,0.04894708,0.0026933741472361396,0.0463462,0.0529197,0.05502624767884294,45.1583,43.97714,2.353348878300878,40.5801,46.3357,0.05351300421766576,0.0,,0.9021988428404749,90.2198842840475,
v06,1024,1024,1024,5,5,success,0.0426394,0.0429202,0.0006618510595292573,0.0424742,0.0440493,0.015420502689392344,50.3639,50.04372,0.7592670129802809,48.7518,50.5597,0.015172073798276405,0.0,,1.0061993542921988,100.61993542921988,
v07,1024,1024,1024,5,5,success,0.0424346,0.0426916,0.0007124983649104032,0.0421018,0.0439296,0.01668942754336692,50.607,50.3133,0.8240742199583708,48.8847,51.007,0.016378854496889906,0.0,,1.0110561478095481,101.10561478095481,
v08,1024,1024,1024,5,5,success,0.0423117,0.04255438,0.0005986122050209145,0.0422304,0.0436218,0.014066993926851113,50.7539,50.4723,0.6970539936045129,49.2296,50.8516,0.013810624711069497,0.0,1252001778606288190,1.0139910016462352,101.39910016462352,True
latest,2048,2048,2048,5,5,success,0.275087,0.27516820000000003,0.00021209596884429427,0.274903,0.275432,0.000770786627394787,62.4524,62.43408,0.04807875830343494,62.3743,62.4943,0.0007700723435571557,0.0,9599594823069093026,0.9770690931050828,97.70690931050828,True
v00,2048,2048,2048,5,5,success,0.299334,0.2919298,0.01284092939393406,0.269743,0.299479,0.04398636039874675,57.3937,58.9454,2.7316248745023546,57.3658,63.6897,0.04634161231414758,0.0,,0.8979256267004182,89.79256267004182,
v01,2048,2048,2048,5,5,success,0.310819,0.3034018,0.013215875706891311,0.280617,0.311357,0.04355898912561267,55.2729,56.71472,2.600131248994943,55.1773,61.2218,0.04584579186840635,0.0,,0.8647456667203812,86.47456667203812,
v02,2048,2048,2048,5,5,success,0.311153,0.3110716,0.00020184721945075174,0.310788,0.311296,0.0006488770413330941,55.2136,55.22804,0.03584533442443941,55.1882,55.2784,0.0006490423057642351,0.0,,0.8638179169906489,86.38179169906489,
v03,2048,2048,2048,5,5,success,0.28086,0.2807944,0.00019042137485061872,0.280474,0.280939,0.0006781523237308818,61.1689,61.18314,0.04157045826064541,61.1516,61.2531,0.0006794430338267276,0.0,,0.9569887089885337,95.69887089885337,
v04,2048,2048,2048,5,5,success,0.28187,0.2818624,0.00017676057252679725,0.281661,0.282092,0.0006271165381647117,60.9496,60.95132,0.038154383758618876,60.9018,60.9948,0.0006259812545260525,0.0,,0.9535577559408054,95.35577559408054,
v05,2048,2048,2048,5,5,success,0.281989,0.2819846,8.116218331218349e-05,0.281885,0.282107,0.00028782487877771867,60.9239,60.92486,0.017538044360758284,60.8984,60.9464,0.00028786351516865667,0.0,,0.9531556789078524,95.31556789078523,
v06,2048,2048,2048,5,5,success,0.276275,0.2762754,0.00013050210726268393,0.27607,0.276398,0.00047236238645454473,62.1839,62.18386,0.02930209890093083,62.1563,62.23,0.000471217111657765,0.0,,0.9728684050370708,97.28684050370708,
v07,2048,2048,2048,5,5,success,0.275128,0.275074,0.00018046744858838632,0.274862,0.275307,0.0006560687254643708,62.4431,62.45548,0.04098044655686467,62.4026,62.5036,0.0006561545369095661,0.0,,0.9769235944122244,97.69235944122244,
v08,2048,2048,2048,5,5,success,0.275231,0.2750672,0.00022846925394897507,0.27476,0.275231,0.0008305943200387944,62.4199,62.4571,0.05189123240008845,62.4199,62.5269,0.0008308300001134932,0.0,9599594823069093026,0.9765606299311149,97.65606299311149,True
latest,4096,4096,4096,5,5,success,2.57405,2.573404,0.002510683173958834,2.56907,2.5755,0.0009756272913070913,53.394,53.40746,0.052163521736939056,53.3639,53.4975,0.0009767085297997518,0.0,7911276346515648474,0.9853982268220842,98.53982268220842,True
v00,4096,4096,4096,5,5,success,2.61448,2.61779,0.010198387127384526,2.61087,2.63574,0.003895800322938252,52.5684,52.50252,0.20352359077021095,52.1444,52.641,0.0038764537544142825,0.0,,0.9701615939407808,97.01615939407809,
v01,4096,4096,4096,5,5,success,2.65494,2.664892,0.02106588996458483,2.65404,2.70246,0.007904969493917512,51.7672,51.57648,0.40348473577076005,50.857,51.7848,0.007823037473103246,0.0,,0.9553752685235083,95.53752685235082,
v02,4096,4096,4096,5,5,success,2.65748,2.662486,0.023451947253906234,2.63541,2.69941,0.008808289415946689,51.7177,51.6237,0.4524705460027202,50.9144,52.1509,0.008764783345686578,0.0,,0.9544617349386917,95.44617349386917,
v03,4096,4096,4096,5,5,success,2.59308,2.58979,0.010523640054657973,2.57454,2.60022,0.004063510962146728,53.0023,53.07022,0.21608939585273346,52.8566,53.3839,0.004071763709529251,0.0,,0.9781693156064755,97.81693156064755,
v04,4096,4096,4096,5,5,success,2.57516,2.574358,0.015476642723795241,2.55203,2.59541,0.006011845564523365,53.3711,53.38924,0.32117174221901873,52.9547,53.8547,0.006015664246560144,0.0,,0.984975602193957,98.4975602193957,
v05,4096,4096,4096,5,5,success,2.57821,2.57783,0.009479694087891195,2.56459,2.59135,0.0036773930351850954,53.308,53.31638,0.1960633112032947,53.0376,53.5911,0.003677356024608098,0.0,,0.9838110775636151,98.3811077563615,
v06,4096,4096,4096,5,5,success,2.57309,2.572034,0.0029022801380982435,2.56806,2.5749,0.0011283988229153438,53.414,53.43592,0.06027567502732844,53.3764,53.5185,0.00112799920030063,0.0,,0.985767331300798,98.5767331300798,
v07,4096,4096,4096,5,5,success,2.57368,2.572832,0.002195454394880417,2.56923,2.57459,0.0008533220959939929,53.4017,53.41934,0.04557195409459837,53.3829,53.4941,0.0008530984114479582,0.0,,0.985540332046389,98.5540332046389,
v08,4096,4096,4096,5,5,success,2.57296,2.572728,0.0014613931709160923,2.57116,2.57491,0.000568032520700242,53.4167,53.42152,0.030326341685076506,53.3763,53.4542,0.0005676802473062636,0.0,7911276346515648474,0.9858171604054243,98.58171604054243,True
latest,8192,8192,8192,5,5,success,22.2109,22.20426,0.026048761966741503,22.1612,22.2292,0.0011731425396181408,49.5031,49.51808,0.05812256016384602,49.4625,49.6142,0.0011737644142068113,0.0,2022361619015266685,1.0121035920271677,101.21035920271677,True
v00,8192,8192,8192,5,5,success,22.5292,22.5113,0.02959231319109789,22.4702,22.5371,0.0013145537215131019,48.8038,48.84276,0.06431949937615956,48.7867,48.9321,0.0013168686490312906,0.0,,0.997806223945076,99.7806223945076,
v01,8192,8192,8192,5,5,success,22.8771,22.87004,0.039995724771529365,22.8149,22.9195,0.0017488261835803245,48.0617,48.07662,0.08405100832232773,47.9728,48.1926,0.0017482719942110683,0.0,,0.9826337988718308,98.26337988718308,
v02,8192,8192,8192,5,5,success,22.8414,22.84514,0.02018608431568611,22.8198,22.8734,0.0008836051919877098,48.1367,48.12892,0.04253536175936375,48.0694,48.1824,0.0008837796850493165,0.0,,0.9841671931320294,98.41671931320293,
v03,8192,8192,8192,5,5,success,22.39,22.37534,0.02548760483058384,22.3368,22.3951,0.001139093521286552,49.1073,49.13948,0.05602849275145695,49.096,49.2243,0.0011401930332078597,0.0,,1.0040113593846796,100.40113593846796,
v04,8192,8192,8192,5,5,success,22.3823,22.37934,0.022577045865214414,22.3561,22.41,0.0010088343027638176,49.1242,49.130720000000004,0.04959079551690936,49.0634,49.1818,0.0010093643145654971,0.0,,1.0043568842246444,100.43568842246444,
v05,8192,8192,8192,5,5,success,22.3974,22.40298,0.017585135768596685,22.3857,22.432,0.0007849462780664307,49.0911,49.07882,0.03854279439791544,49.0152,49.1167,0.0007853243903972313,0.0,,1.0036801462244767,100.36801462244766,
v06,8192,8192,8192,5,5,success,22.2194,22.21468,0.02651465632438072,22.1847,22.2498,0.0011935646304327013,49.4843,49.49486,0.059096218153111876,49.4167,49.5617,0.0011939869746699328,0.0,,1.0117192211992778,101.17192211992779,
v07,8192,8192,8192,5,5,success,22.223,22.2242,0.0445279125942366,22.1631,22.2764,0.0020035777483210465,49.4762,49.47374,0.09910465680279748,49.3577,49.6099,0.00200317697434634,0.0,,1.0115536146191764,101.15536146191764,
v08,8192,8192,8192,5,5,success,22.162,22.18992,0.043651025188419436,22.1518,22.2434,0.0019671555908457278,49.6126,49.55024,0.09742136829258578,49.4309,49.6354,0.0019661129450147118,0.0,2022361619015266685,1.0143423476470577,101.43423476470576,True
